name,language,handwritten,year_range
41650.pdf,de,True,1865-1869
41559.pdf,de,True,1865-1869
41613.pdf,de,True,1865-1869
41724.pdf,de,True,1865-1869
41655.pdf,de,True,1865-1869
41534.pdf,de,True,1865-1869
41745.pdf,de,True,1865-1869
41557.pdf,de,True,1865-1869
41561.pdf,de,True,1865-1869
41548.pdf,de,True,1865-1869
41538.pdf,de,True,1865-1869
41596.pdf,de,True,1865-1869
41600.pdf,de,True,1865-1869
41640.pdf,de,True,1865-1869
41556.pdf,de,True,1865-1869
41564.pdf,de,True,1865-1869
41566.pdf,de,True,1865-1869
41569.pdf,de,True,1865-1869
41712.pdf,de,True,1865-1869
41563.pdf,de,True,1865-1869
41659.pdf,de,True,1865-1869
41545.pdf,de,True,1865-1869
41749.pdf,de,True,1865-1869
41657.pdf,de,True,1865-1869
41617.pdf,de,True,1865-1869
41654.pdf,de,True,1865-1869
41630.pdf,de,True,1865-1869
41611.pdf,de,True,1865-1869
41664.pdf,de,True,1865-1869
41575.pdf,de,True,1865-1869
41606.pdf,de,True,1865-1869
41536.pdf,de,True,1865-1869
41635.pdf,de,True,1865-1869
41541.pdf,de,True,1865-1869
41565.pdf,de,True,1865-1869
41535.pdf,de,True,1865-1869
41554.pdf,de,True,1865-1869
41553.pdf,de,True,1865-1869
41691.pdf,de,True,1865-1869
41571.pdf,de,True,1865-1869
41683.pdf,de,True,1865-1869
41739.pdf,de,True,1865-1869
41713.pdf,de,True,1865-1869
41709.pdf,de,True,1865-1869
41669.pdf,de,True,1865-1869
41666.pdf,de,True,1865-1869
41720.pdf,de,True,1865-1869
41721.pdf,de,True,1865-1869
41677.pdf,de,True,1865-1869
41711.pdf,de,True,1865-1869
41604.pdf,de,True,1865-1869
41714.pdf,de,True,1865-1869
41638.pdf,de,True,1865-1869
41623.pdf,de,True,1865-1869
41740.pdf,de,True,1865-1869
41715.pdf,de,True,1865-1869
41562.pdf,de,True,1865-1869
41636.pdf,de,True,1865-1869
41705.pdf,de,True,1865-1869
41729.pdf,de,True,1865-1869
41728.pdf,de,True,1865-1869
41660.pdf,de,True,1865-1869
41632.pdf,de,True,1865-1869
41627.pdf,de,True,1865-1869
41661.pdf,de,True,1865-1869
41698.pdf,de,True,1865-1869
41651.pdf,de,True,1865-1869
41703.pdf,de,True,1865-1869
41620.pdf,de,True,1865-1869
41668.pdf,de,True,1865-1869
63163.pdf,de,True,1865-1869
41524.pdf,de,True,1865-1869
41616.pdf,de,True,1865-1869
41603.pdf,de,True,1865-1869
41684.pdf,de,True,1865-1869
41722.pdf,de,True,1865-1869
41702.pdf,de,True,1865-1869
41649.pdf,de,True,1865-1869
41690.pdf,de,True,1865-1869
41647.pdf,de,True,1865-1869
41558.pdf,de,True,1865-1869
41614.pdf,de,True,1865-1869
41577.pdf,de,True,1865-1869
41741.pdf,de,True,1865-1869
41543.pdf,de,True,1865-1869
41615.pdf,de,True,1865-1869
41597.pdf,de,True,1865-1869
41717.pdf,de,True,1865-1869
41694.pdf,de,True,1865-1869
41570.pdf,de,True,1865-1869
41572.pdf,de,True,1865-1869
41653.pdf,de,True,1865-1869
41687.pdf,de,True,1865-1869
41544.pdf,de,True,1865-1869
41642.pdf,de,True,1865-1869
41578.pdf,de,True,1865-1869
41723.pdf,de,True,1865-1869
41744.pdf,de,True,1865-1869
41592.pdf,de,True,1865-1869
41612.pdf,de,True,1865-1869
41588.pdf,de,True,1865-1869
41601.pdf,de,True,1865-1869
41658.pdf,de,True,1865-1869
41742.pdf,de,True,1865-1869
41573.pdf,de,True,1865-1869
41670.pdf,de,True,1865-1869
41644.pdf,de,True,1865-1869
41735.pdf,de,True,1865-1869
41626.pdf,de,True,1865-1869
41688.pdf,de,True,1865-1869
41676.pdf,de,True,1865-1869
41679.pdf,de,True,1865-1869
41628.pdf,de,True,1865-1869
41678.pdf,de,True,1865-1869
41672.pdf,de,True,1865-1869
41746.pdf,de,True,1865-1869
41747.pdf,de,True,1865-1869
41523.pdf,de,True,1865-1869
41750.pdf,de,True,1865-1869
41574.pdf,de,True,1865-1869
41751.pdf,de,True,1865-1869
41560.pdf,de,True,1865-1869
41581.pdf,de,True,1865-1869
41704.pdf,de,True,1865-1869
41540.pdf,de,True,1865-1869
41662.pdf,de,True,1865-1869
41609.pdf,de,True,1865-1869
41682.pdf,de,True,1865-1869
41528.pdf,de,True,1865-1869
41674.pdf,de,True,1865-1869
41576.pdf,de,True,1865-1869
41527.pdf,de,True,1865-1869
41607.pdf,de,True,1865-1869
41738.pdf,de,True,1865-1869
41618.pdf,de,True,1865-1869
41629.pdf,de,True,1865-1869
41710.pdf,de,True,1865-1869
41608.pdf,de,True,1865-1869
41652.pdf,de,True,1865-1869
41602.pdf,de,True,1865-1869
41546.pdf,de,True,1865-1869
41663.pdf,de,True,1865-1869
41894.pdf,de,True,1870-1874
41859.pdf,de,True,1870-1874
41963.pdf,de,True,1870-1874
41950.pdf,de,True,1870-1874
42008.pdf,de,True,1870-1874
41847.pdf,de,True,1870-1874
41862.pdf,de,True,1870-1874
41767.pdf,de,True,1870-1874
41809.pdf,de,True,1870-1874
42031.pdf,de,True,1870-1874
41930.pdf,de,True,1870-1874
41931.pdf,de,True,1870-1874
41876.pdf,de,True,1870-1874
42034.pdf,de,True,1870-1874
41804.pdf,de,True,1870-1874
41886.pdf,de,True,1870-1874
41948.pdf,de,True,1870-1874
41957.pdf,de,True,1870-1874
41910.pdf,de,True,1870-1874
41926.pdf,de,True,1870-1874
41833.pdf,de,True,1870-1874
41842.pdf,de,True,1870-1874
41841.pdf,de,True,1870-1874
41925.pdf,de,True,1870-1874
41918.pdf,de,True,1870-1874
41885.pdf,de,True,1870-1874
41987.pdf,de,True,1870-1874
41999.pdf,de,True,1870-1874
41890.pdf,de,True,1870-1874
41822.pdf,de,True,1870-1874
41852.pdf,de,True,1870-1874
41853.pdf,de,True,1870-1874
41944.pdf,de,True,1870-1874
59537.pdf,de,True,1870-1874
42005.pdf,de,True,1870-1874
41816.pdf,de,True,1870-1874
41954.pdf,de,True,1870-1874
41838.pdf,de,True,1870-1874
41917.pdf,de,True,1870-1874
41997.pdf,de,True,1870-1874
41884.pdf,de,True,1870-1874
42018.pdf,de,True,1870-1874
42025.pdf,de,True,1870-1874
41851.pdf,de,True,1870-1874
41799.pdf,de,True,1870-1874
41981.pdf,de,True,1870-1874
42001.pdf,de,True,1870-1874
41893.pdf,de,True,1870-1874
41887.pdf,de,True,1870-1874
41825.pdf,de,True,1870-1874
41766.pdf,de,True,1870-1874
41973.pdf,de,True,1870-1874
41982.pdf,de,True,1870-1874
41856.pdf,de,True,1870-1874
41875.pdf,de,True,1870-1874
42009.pdf,de,True,1870-1874
42033.pdf,de,True,1870-1874
41874.pdf,de,True,1870-1874
41937.pdf,de,True,1870-1874
41844.pdf,de,True,1870-1874
41995.pdf,de,True,1870-1874
41895.pdf,de,True,1870-1874
41974.pdf,de,True,1870-1874
42006.pdf,de,True,1870-1874
41819.pdf,de,True,1870-1874
41777.pdf,de,True,1870-1874
41928.pdf,de,True,1870-1874
41938.pdf,de,True,1870-1874
42024.pdf,de,True,1870-1874
41945.pdf,de,True,1870-1874
41868.pdf,de,True,1870-1874
42019.pdf,de,True,1870-1874
41836.pdf,de,True,1870-1874
41871.pdf,de,True,1870-1874
41834.pdf,de,True,1870-1874
41897.pdf,de,True,1870-1874
41867.pdf,de,True,1870-1874
41845.pdf,de,True,1870-1874
41855.pdf,de,True,1870-1874
41758.pdf,de,True,1870-1874
41920.pdf,de,True,1870-1874
41936.pdf,de,True,1870-1874
41850.pdf,de,True,1870-1874
41757.pdf,de,True,1870-1874
41791.pdf,de,True,1870-1874
41857.pdf,de,True,1870-1874
41760.pdf,de,True,1870-1874
41779.pdf,de,True,1870-1874
41878.pdf,de,True,1870-1874
41919.pdf,de,True,1870-1874
41866.pdf,de,True,1870-1874
41980.pdf,de,True,1870-1874
41848.pdf,de,True,1870-1874
41962.pdf,de,True,1870-1874
42030.pdf,de,True,1870-1874
41756.pdf,de,True,1870-1874
41969.pdf,de,True,1870-1874
41814.pdf,de,True,1870-1874
41754.pdf,de,True,1870-1874
41934.pdf,de,True,1870-1874
41933.pdf,de,True,1870-1874
41877.pdf,de,True,1870-1874
41837.pdf,de,True,1870-1874
41839.pdf,de,True,1870-1874
41829.pdf,de,True,1870-1874
41863.pdf,de,True,1870-1874
41781.pdf,de,True,1870-1874
41458.pdf,de,True,1860-1864
41469.pdf,de,True,1860-1864
41487.pdf,de,True,1860-1864
41482.pdf,de,True,1860-1864
41495.pdf,de,True,1860-1864
41513.pdf,de,True,1860-1864
41439.pdf,de,True,1860-1864
41409.pdf,de,True,1860-1864
41478.pdf,de,True,1860-1864
41365.pdf,de,True,1860-1864
41375.pdf,de,True,1860-1864
41412.pdf,de,True,1860-1864
41366.pdf,de,True,1860-1864
41427.pdf,de,True,1860-1864
41383.pdf,de,True,1860-1864
41392.pdf,de,True,1860-1864
41461.pdf,de,True,1860-1864
41401.pdf,de,True,1860-1864
41434.pdf,de,True,1860-1864
41437.pdf,de,True,1860-1864
41512.pdf,de,True,1860-1864
41407.pdf,de,True,1860-1864
41433.pdf,de,True,1860-1864
41446.pdf,de,True,1860-1864
41364.pdf,de,True,1860-1864
41363.pdf,de,True,1860-1864
41514.pdf,de,True,1860-1864
41390.pdf,de,True,1860-1864
41428.pdf,de,True,1860-1864
41506.pdf,de,True,1860-1864
41445.pdf,de,True,1860-1864
41492.pdf,de,True,1860-1864
41491.pdf,de,True,1860-1864
41498.pdf,de,True,1860-1864
41381.pdf,de,True,1860-1864
41450.pdf,de,True,1860-1864
41426.pdf,de,True,1860-1864
41384.pdf,de,True,1860-1864
41447.pdf,de,True,1860-1864
41385.pdf,de,True,1860-1864
41486.pdf,de,True,1860-1864
41473.pdf,de,True,1860-1864
41435.pdf,de,True,1860-1864
41479.pdf,de,True,1860-1864
41414.pdf,de,True,1860-1864
41403.pdf,de,True,1860-1864
41374.pdf,de,True,1860-1864
41480.pdf,de,True,1860-1864
41510.pdf,de,True,1860-1864
41429.pdf,de,True,1860-1864
41452.pdf,de,True,1860-1864
41424.pdf,de,True,1860-1864
41388.pdf,de,True,1860-1864
41515.pdf,de,True,1860-1864
41494.pdf,de,True,1860-1864
41432.pdf,de,True,1860-1864
41518.pdf,de,True,1860-1864
41431.pdf,de,True,1860-1864
41442.pdf,de,True,1860-1864
41387.pdf,de,True,1860-1864
41516.pdf,de,True,1860-1864
41425.pdf,de,True,1860-1864
42151.pdf,de,True,1880-1884
42152.pdf,de,True,1880-1884
42182.pdf,de,True,1880-1884
42177.pdf,de,True,1880-1884
42256.pdf,de,True,1880-1884
42162.pdf,de,True,1880-1884
42246.pdf,de,True,1880-1884
42164.pdf,de,True,1880-1884
42155.pdf,de,True,1880-1884
42172.pdf,de,True,1880-1884
42167.pdf,de,True,1880-1884
42205.pdf,de,True,1880-1884
42201.pdf,de,True,1880-1884
42213.pdf,de,True,1880-1884
42187.pdf,de,True,1880-1884
42210.pdf,de,True,1880-1884
42236.pdf,de,True,1880-1884
42238.pdf,de,True,1880-1884
42216.pdf,de,True,1880-1884
42150.pdf,de,True,1880-1884
42208.pdf,de,True,1880-1884
42245.pdf,de,True,1880-1884
42203.pdf,de,True,1880-1884
42227.pdf,de,True,1880-1884
42240.pdf,de,True,1880-1884
42190.pdf,de,True,1880-1884
42176.pdf,de,True,1880-1884
42230.pdf,de,True,1880-1884
42251.pdf,de,True,1880-1884
42231.pdf,de,True,1880-1884
42226.pdf,de,True,1880-1884
42197.pdf,de,True,1880-1884
42171.pdf,de,True,1880-1884
42254.pdf,de,True,1880-1884
42219.pdf,de,True,1880-1884
42199.pdf,de,True,1880-1884
42194.pdf,de,True,1880-1884
42237.pdf,de,True,1880-1884
42174.pdf,de,True,1880-1884
42169.pdf,de,True,1880-1884
42239.pdf,de,True,1880-1884
42253.pdf,de,True,1880-1884
42200.pdf,de,True,1880-1884
42247.pdf,de,True,1880-1884
42196.pdf,de,True,1880-1884
42229.pdf,de,True,1880-1884
42173.pdf,de,True,1880-1884
42157.pdf,de,True,1880-1884
42241.pdf,de,True,1880-1884
42165.pdf,de,True,1880-1884
42211.pdf,de,True,1880-1884
42233.pdf,de,True,1880-1884
42206.pdf,de,True,1880-1884
41043.pdf,de,True,1845-1849
41058.pdf,de,True,1845-1849
41028.pdf,de,True,1845-1849
41042.pdf,de,True,1845-1849
41045.pdf,de,True,1845-1849
41040.pdf,de,True,1845-1849
41060.pdf,de,True,1845-1849
41034.pdf,de,True,1845-1849
41020.pdf,de,True,1845-1849
41047.pdf,de,True,1845-1849
41055.pdf,de,True,1845-1849
41057.pdf,de,True,1845-1849
41054.pdf,de,True,1845-1849
41029.pdf,de,True,1845-1849
41039.pdf,de,True,1845-1849
